/root/JS_Detector/Experiments/JStap/classification/classifier.py
/root/JS_Detector/Experiments/JStap/classification/classifier.py
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/fwk: benign (benign) Proba: [0.98 0.02] Majority: 490/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/EventMapper: benign (benign) Proba: [0.998 0.002] Majority: 499/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/PlanOutEditorDispatcher: benign (benign) Proba: [0.99 0.01] Majority: 495/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/cdf-dd-layout-spec: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/ActivityStatusStore: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/tabview-debug: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/QueryAction: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/installed_keyboards_test: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/ve.dm.CommentNode: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/angular-locale_en-gu: benign (benign) Proba: [0.992 0.008] Majority: 496/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/_http_agent: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/socialite.bufferapp: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/Core-dbg: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/text-overflow: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/12.14-16: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/filters.test: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/thumbnail_item: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/kendo.culture.ps: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/deck.scale: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/widget-autohide-debug: benign (benign) Proba: [0.996 0.004] Majority: 498/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/BrowserShimLoader: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/users-test: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/container-queries: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/single_month_test: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/world_entities: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/ColumnResizer.uncompressed: benign (benign) Proba: [1. 0.] Majority: 500/500
/root/JS_Detector/Dataset/dataset-10k/Benign_test_control-flow-flattening/Analysis/PDG/Ext.ux.grid.RowActions: benign (benign) Proba: [1. 0.] Majority: 500/500
